"id","s","algo","tp","fp","fn","tn","Cov_Thickness","Cov_M2","Cov_Validation","Cov_Commercial"
"2","Lee_2025","1","85","62","27","303","1","0","1",""
"3","Lee_2025","2","75","118","37","247","1","0","1",""
"4","Lee_2025","3","99","32","13","333","1","0","1","1"
"6","Rai_2025A","1","55","6","58","108","0","1","1",""
"7","Rai_2025A","2","53","17","60","97","0","1","1",""
"8","Rai_2025A","3","78","11","35","103","0","1","1","1"
"9","Rai_2025B","3","126","12","65","182","0","1","1","1"
"10","Rai_2025B","4","124","2","67","192","0","1","1","1"
"11","Yedavalli_2023","1","59","17","56","112","1","0","1",""
"12","Yedavalli_2023","2","47","4","68","125","1","0","1",""
"13","Yedavalli_2023","3","73","6","42","123","1","0","1","1"
"14","Weyland_2022","2","73","11","11","59","0","1","1",""
"15","Weyland_2022","3","65","9","19","61","0","1","1","1"
"16","Chung_2025","1","19","4","16","26","1","1","1",""
"17","Chung_2025","3","27","2","8","28","1","1","1","1"
"18","Urra_2025","1","30","8","41","110","","1","1",""
"19","Urra_2025","2","21","13","50","105","","1","1",""
"20","Urra_2025","3","58","13","13","105","","1","1","1"
"21","Olive-Gadea_2020","3","685","181","138","449","1","1","0","1"
"22","Olive-Gadea_2020","4","684","94","139","536","1","1","0","1"
"24","Kim_2024","3","20","8","5","62","1","1","1","1"
"25","Kim_2024","4","23","13","2","57","1","1","1","1"
"26","Tolhuisen_2020","1","54","18","4","27","0","1","1",""
"27","Tolhuisen_2020","2","45","5","13","40","0","1","1",""
"28","Tolhuisen_2020","3","50","14","8","31","0","1","1","0"
"29","Sunwoo_2026_US","1","63","16","57","104","","1","1",""
"30","Sunwoo_2026_US","2","76","24","44","96","","1","1",""
"31","Sunwoo_2026_US","3","95","8","25","112","","1","1","1"
